Fichier,Statut,Format,OS,Langue,NB_Touches,Shift_Ratio,OS_Euler,TL_Extent
INT-qwerty-1.jpg,OK,ISO (Europe),Mac OS,QWERTY,78,1.4,-4,0.88
INT-qwerty-2.jpg,OK,ISO (Europe),Windows/PC,QWERTY,79,1.42,1,0.83
INT-qwerty-3.jpg,OK,ISO (Europe),Windows/PC,QWERTY,57,1.13,1,0.63
INT-qwerty-6.jpg,OK,ISO (Europe),?,QWERTY,12,1.36,0,0.87
INT-qwerty-4.jpg,OK,ISO (Europe),Windows/PC,QWERTY,75,1.47,4,0.67
INT-qwerty-5.jpg,OK,?,Windows/PC,QWERTY,76,0,4,0.54
